Product ID,Product Name,Sub Category,Category,Flag
1,"Hoover Stove, White",Appliances,Office Supplies,Selected
2,"KitchenAid Refrigerator, Black",Appliances,Office Supplies,Selected
3,"Breville Microwave, Silver",Appliances,Office Supplies,Selected
4,"Hamilton Beach Stove, Silver",Appliances,Office Supplies,Selected
5,"Cuisinart Refrigerator, Black",Appliances,Office Supplies,Selected
6,"Hoover Stove, Black",Appliances,Office Supplies,Selected
7,"KitchenAid Stove, Silver",Appliances,Office Supplies,Selected
8,"Hoover Stove, Red",Appliances,Office Supplies,Selected
9,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Appliances,Office Supplies,Selected
10,"Hoover Stove, Silver",Appliances,Office Supplies,Selected
11,"Safco Classic Bookcase, Metal",Bookcases,Furniture,Selected
12,"Ikea Classic Bookcase, Metal",Bookcases,Furniture,Selected
13,"Safco Library with Doors, Pine",Bookcases,Furniture,Selected
14,"Bush Classic Bookcase, Metal",Bookcases,Furniture,Selected
15,"Sauder Classic Bookcase, Traditional",Bookcases,Furniture,Selected
16,"Ikea Classic Bookcase, Mobile",Bookcases,Furniture,Selected
17,"Bush Classic Bookcase, Traditional",Bookcases,Furniture,Selected
18,"Sauder Library with Doors, Pine",Bookcases,Furniture,Selected
19,"Safco Classic Bookcase, Pine",Bookcases,Furniture,Selected
20,"Dania Classic Bookcase, Metal",Bookcases,Furniture,Selected
21,"SAFCO Executive Leather Armchair, Black",Chairs,Furniture,Selected
22,"Office Star Executive Leather Armchair, Black",Chairs,Furniture,Selected
23,"Office Star Executive Leather Armchair, Adjustable",Chairs,Furniture,Selected
24,"Novimex Executive Leather Armchair, Black",Chairs,Furniture,Selected
25,"Hon Executive Leather Armchair, Adjustable",Chairs,Furniture,Selected
26,"Novimex Executive Leather Armchair, Adjustable",Chairs,Furniture,Selected
27,"Harbour Creations Executive Leather Armchair, Black",Chairs,Furniture,Selected
28,Global Deluxe High-Back Manager's Chair,Chairs,Furniture,Selected
29,"Office Star Executive Leather Armchair, Red",Chairs,Furniture,Selected
30,"Harbour Creations Executive Leather Armchair, Adjustable",Chairs,Furniture,Selected
31,Canon imageCLASS 2200 Advanced Copier,Copiers,Technology,Selected
32,"Sharp Wireless Fax, Color",Copiers,Technology,Selected
33,"Brother Fax Machine, Laser",Copiers,Technology,Selected
34,"Brother Fax Machine, High-Speed",Copiers,Technology,Selected
35,"Hewlett Copy Machine, Color",Copiers,Technology,Selected
36,"Sharp Wireless Fax, Laser",Copiers,Technology,Selected
37,"Hewlett Fax Machine, Color",Copiers,Technology,Selected
38,"HP Copy Machine, Color",Copiers,Technology,Selected
39,"Canon Fax Machine, High-Speed",Copiers,Technology,Selected
40,"Hewlett Fax Machine, High-Speed",Copiers,Technology,Selected
41,"Samsung Smart Phone, VoIP",Phones,Technology,Selected
42,"Motorola Smart Phone, Full Size",Phones,Technology,Selected
43,"Nokia Smart Phone, with Caller ID",Phones,Technology,Selected
44,"Samsung Smart Phone, Full Size",Phones,Technology,Selected
45,"Apple Smart Phone, Full Size",Phones,Technology,Selected
46,"Motorola Smart Phone, Cordless",Phones,Technology,Selected
47,Apple iPhone 5,Phones,Technology,Selected
48,"Cisco Smart Phone, Full Size",Phones,Technology,Selected
49,Samsung Galaxy S4 Active,Phones,Technology,Selected
50,"Nokia Smart Phone, Full Size",Phones,Technology,Selected
51,"Eldon File Cart, Single Width",Storage,Office Supplies,Selected
